GGAP,TFP
0.46,0.012957514
0.56,0.017000906
0.6,0.007691381
1.22,-0.01694517
1,0.015870698
0.86,0.003718697
0.86,-0.01138024
0.56,-0.002094788
0.76,0.003037831
0.56,-0.017507023
0.76,0.015309707
0.7,-0.030750121
0.66,-0.018913891
1.26,0.020004486
1.76,0.006299948
1.26,0.010690145
1.42,0.035577546
1.2,-0.006072474
1.96,-0.037804435
1.82,0.000121786
1.46,0.002318894
1.78,0.039967093
1.16,0.009880916
1.96,0.016719108
0.36,0.007699047
0.3,0.003574461
0.1,0.012281598
-0.04,0.0010443
0.14,0.005472296
-0.14,0.003923548
0.2,0.01403835
-0.2,0.014851556
0.3,0.017125767
0.36,0.022913879
0,0.0050987
0.36,0.011227065
-0.44,-0.00758372
0.26,-0.029970274
1.2,-0.025450812
0.26,0.005425683
2.6,0.004142062
2.46,0.014119802
3.3,-0.081418249
0.2,3.042389365
0.44,0.0189372
0.54,0.012383347
0.6,0.010564155
1.18,-0.006716599
1,0.012374895
0.84,0.012175643
0.84,-0.006076814
0.54,0.015294204
0.74,0.007206885
0.54,-0.006244189
0.74,0.013746
0.7,-0.022741129
0.64,0.012362135
1.24,0.012871683
1.74,0.004059537
1.24,0.012406579
1.38,0.036769938
1.2,-0.010388788
1.94,-0.063615821
1.78,0.008772362
1.44,0.002434096
1.72,0.035665834
1.14,0.00695888
1.94,0.006758142
0.34,-0.001889616
0.3,0.002051418
0.1,0.010172208
-0.06,-0.009722243
0.16,0.010839185
-0.16,0.006567529
0.2,0.015557705
-0.2,0.024702028
0.3,0.009723982
0.34,0.018864442
0,0.006880463
0.34,0.007528582
-0.46,-0.009046944
0.24,-0.010882536
1.1,-0.00328635
0.24,0.003339924
2.6,0.008012065
2.44,-0.002646088
3.3,-0.016964518
0.2,-0.646869741
0.42,0.018950076
0.52,0.010802618
0.6,0.013525166
1.14,-0.004113287
1,0.004918548
0.82,0.009508349
0.82,-0.008833605
0.52,0.023567338
0.72,0.00647001
0.52,-0.011885417
0.72,0.007868508
0.7,-0.023437897
0.62,0.023723203
1.22,-0.005421463
1.72,0.00800249
1.22,0.01514172
1.34,0.025878682
1.2,-0.010250601
1.92,-0.034399965
1.74,0.011106179
1.42,0.00257878
1.66,0.025971906
1.12,0.006362765
1.92,-0.01165297
0.32,-0.004449938
0.3,-0.003547353
0.1,0.006771679
-0.08,-0.02499896
0.18,0.012608444
-0.18,0.003281195
0.2,0.016449594
-0.2,0.023678987
0.3,0.005999835
0.32,0.009238381
0,0.004214992
0.32,0.003408109
-0.48,0.005232699
0.22,-0.005757254
1,0.003368109
0.22,-0.001569795
2.6,0.011071655
2.42,-0.012445852
3.3,0.004456785
0.2,1.35937275
0.4,0.017002707
0.5,0.004376382
0.6,0.01164145
1.1,-0.007563914
1,0.000514814
0.8,0.012428914
0.8,-0.005458675
0.5,0.019107541
0.7,0.004568406
0.5,-0.009790148
0.7,0.002072585
0.7,-0.019873121
0.6,0.035489772
1.2,-0.015324927
1.7,0.009427471
1.2,0.022735001
1.3,0.033821502
1.2,-0.002378216
1.9,-0.009333156
1.7,0.018336908
1.4,0.001091571
1.6,0.028707972
1.1,0.006939552
1.9,-0.000427398
0.3,-0.008833324
0.3,-0.007088285
0.1,0.005995185
-0.1,-0.014355492
0.2,0.012672229
-0.2,-0.014448176
0.2,0.013198247
-0.2,0.027971518
0.3,0.005707338
0.3,-0.012342715
0,0.006468277
0.3,0.00239499
-0.5,0.02297831
0.2,-0.00809161
0.9,0.016553002
0.2,-0.003481189
2.6,0.010037619
2.4,-0.017360991
3.3,0.055235664
0.2,-1.106850504
0.4,0.015956818
0.48,0.000441034
0.58,0.010013719
1.06,-0.000504171
0.96,-0.017216903
0.76,0.004142462
0.76,-0.008395452
0.48,0.017824399
0.68,0.002274409
0.48,-0.01650565
0.68,-0.000221325
0.68,-0.007518189
0.58,0.037705102
1.18,-0.018023858
1.66,0.00939354
